sku,price,product_id,product_name,product_tags,stock_quantity,expiration_date,product_ratings,warranty_period,product_category,manufacturing_date,product_dimensions,product_description,color_size_variations
SKU-BEA-SKI-00031,1886.80,P000031,Pro Steel Skincare,"bestseller, lightweight, limited, premium",506,2024-12-18,2.6,3 months,Beauty,2022-02-13,35x21x31 cm,"A pro skincare made from steel, suitable for everyday use in the beauty category.",Colors: Silver/Blue/White; Sizes: M
SKU-HOM-FUR-00032,1441.60,P000032,Premium Aluminum Furniture,"bestseller, family, limited, sale",768,,4.9,3 months,Home & Kitchen,2023-03-24,14x80x45 cm,"A premium furniture made from aluminum, suitable for everyday use in the home & kitchen category.",Colors: Silver; Sizes: L/M/XS
SKU-GRO-BEV-00033,268.31,P000033,Deluxe Silicone Beverage,"family, giftable, premium, sale",741,2027-07-22,4.6,No Warranty,Grocery,2024-07-25,60x27x47 cm,"A deluxe beverage made from silicone, suitable for everyday use in the grocery category.",Colors: Pink/Gold/Green/Blue; Sizes: XS
SKU-SPO-TEA-00034,1426.76,P000034,Eco Silicone Team Sport,"durable, limited, sale",1368,,3.3,1 year,Sports,2023-02-16,113x46x12 cm,"A eco team sport made from silicone, suitable for everyday use in the sports category.",Colors: Green/Brown/Black; Sizes: S/XS/One Size
SKU-TOY-OUT-00035,1728.06,P000035,Mini Glass Outdoor Toy,"limited, professional, sale",1322,,3.7,No Warranty,Toys,2024-12-28,16x42x15 cm,"A mini outdoor toy made from glass, suitable for everyday use in the toys category.",Colors: Pink/Gray/Silver; Sizes: One Size/XL
SKU-GRO-PAN-00036,680.93,P000036,Essential Silicone Pantry,"eco-friendly, family, lightweight, limited",514,2023-02-15,4.3,No Warranty,Grocery,2022-04-18,20x73x49 cm,"A essential pantry made from silicone, suitable for everyday use in the grocery category.",Colors: Brown/Gray/Green; Sizes: S
SKU-SPO-OUT-00037,759.15,P000037,Smart Wood Outdoor,"bestseller, eco-friendly, family, lightweight",1450,,2.8,No Warranty,Sports,2023-12-30,11x75x19 cm,"A smart outdoor made from wood, suitable for everyday use in the sports category.",Colors: Brown; Sizes: L/One Size
SKU-OFF-PRI-00038,634.92,P000038,Portable Steel Printing,"eco-friendly, family, new, premium",978,,4.6,1 year,Office,2021-08-22,67x14x37 cm,"A portable printing made from steel, suitable for everyday use in the office category.",Colors: White/Red/Brown; Sizes: L/XL/S
SKU-TOY-OUT-00039,2151.11,P000039,Ultra Aluminum Outdoor Toy,"family, limited",878,,3.9,No Warranty,Toys,2022-09-18,83x17x49 cm,"A ultra outdoor toy made from aluminum, suitable for everyday use in the toys category.",Colors: White/Blue/Red; Sizes: XL
SKU-HOM-STO-00040,1129.00,P000040,Premium Leather Storage,"bestseller, family, limited",1216,,3.2,3 months,Home & Kitchen,2023-08-21,41x41x45 cm,"A premium storage made from leather, suitable for everyday use in the home & kitchen category.",Colors: Brown/Red/Gold; Sizes: XL
SKU-BEA-HAI-00041,183.16,P000041,Classic Wood Haircare,"professional, sale, trending",339,2026-10-19,4.0,2 years,Beauty,2025-06-12,41x61x8 cm,"A classic haircare made from wood, suitable for everyday use in the beauty category.",Colors: Gray/Brown/Pink; Sizes: XS/XL
SKU-ELE-AUD-00042,1511.26,P000042,Essential Cotton Audio,"family, sale",52,,3.1,3 years,Electronics,2021-07-07,112x78x38 cm,"A essential audio made from cotton, suitable for everyday use in the electronics category.",Colors: Blue; Sizes: XL/L
SKU-SPO-OUT-00043,1588.78,P000043,Max Leather Outdoor,"durable, eco-friendly",1007,,3.7,1 year,Sports,2021-07-06,47x46x43 cm,"A max outdoor made from leather, suitable for everyday use in the sports category.",Colors: Pink/Green/Gold/Brown; Sizes: XS/L/One Size
SKU-GRO-PAN-00044,2425.60,P000044,Smart Plastic Pantry,"giftable, limited, new",827,2027-10-14,4.6,No Warranty,Grocery,2025-11-07,89x74x30 cm,"A smart pantry made from plastic, suitable for everyday use in the grocery category.",Colors: Brown/Pink/Gray; Sizes: S
SKU-SPO-ACC-00045,1098.09,P000045,Portable Aluminum Accessorie,"giftable, sale",1430,,2.8,3 years,Sports,2023-09-20,82x35x46 cm,"A portable accessorie made from aluminum, suitable for everyday use in the sports category.",Colors: Gray; Sizes: XS/S
SKU-HOM-DEC-00046,1248.44,P000046,Compact Wood Decor,"giftable, lightweight",1467,,3.8,6 months,Home & Kitchen,2022-08-21,58x66x31 cm,"A compact decor made from wood, suitable for everyday use in the home & kitchen category.",Colors: Gold/Red; Sizes: XL/S/XS
SKU-SPO-TEA-00047,2052.26,P000047,Smart Aluminum Team Sport,"giftable, lightweight",579,,3.2,2 years,Sports,2025-01-26,79x89x32 cm,"A smart team sport made from aluminum, suitable for everyday use in the sports category.",Colors: Silver/Brown/Gold/Red; Sizes: S/One Size
SKU-TOY-ACT-00048,798.84,P000048,Deluxe Steel Action Figure,"eco-friendly, lightweight, new, professional",968,,4.8,1 year,Toys,2024-12-15,54x89x51 cm,"A deluxe action figure made from steel, suitable for everyday use in the toys category.",Colors: White/Pink/Brown; Sizes: L/XS/S
SKU-TOY-ACT-00049,1954.90,P000049,Compact Silicone Action Figure,"family, giftable, trending",542,,4.1,1 year,Toys,2022-11-25,88x15x55 cm,"A compact action figure made from silicone, suitable for everyday use in the toys category.",Colors: Pink/Gray/Black; Sizes: XS/S/M
SKU-BEA-SKI-00050,1902.11,P000050,Deluxe Plastic Skincare,"durable, new, sale",1441,2026-09-01,3.6,3 years,Beauty,2025-11-23,43x8x3 cm,"A deluxe skincare made from plastic, suitable for everyday use in the beauty category.",Colors: Gold/Blue/Red; Sizes: L/XL/S
SKU-FAS-WOM-00051,1551.17,P000051,Compact Leather Women,"lightweight, new, sale",493,,4.8,3 months,Fashion,2023-10-17,34x64x41 cm,"A compact women made from leather, suitable for everyday use in the fashion category.",Colors: Green/Gray/Blue/Black; Sizes: M/XL
SKU-SPO-TEA-00052,1144.80,P000052,Essential Aluminum Team Sport,"durable, family, premium, sale",618,,5.0,1 year,Sports,2022-02-12,18x35x25 cm,"A essential team sport made from aluminum, suitable for everyday use in the sports category.",Colors: Gold; Sizes: XS/XL
SKU-ELE-WEA-00053,2082.92,P000053,Essential Silicone Wearable,"eco-friendly, limited, premium, sale",586,,4.5,2 years,Electronics,2025-05-08,107x50x15 cm,"A essential wearable made from silicone, suitable for everyday use in the electronics category.",Colors: Black; Sizes: L/XS
SKU-GRO-SNA-00054,820.15,P000054,Compact Aluminum Snack,"eco-friendly, lightweight, sale",850,2023-01-15,2.8,No Warranty,Grocery,2021-12-26,72x69x59 cm,"A compact snack made from aluminum, suitable for everyday use in the grocery category.",Colors: Silver/White/Pink; Sizes: S
SKU-BEA-FRA-00055,230.30,P000055,Mini Cotton Fragrance,"bestseller, durable, family",808,2022-04-24,3.8,1 year,Beauty,2021-01-29,52x38x38 cm,"A mini fragrance made from cotton, suitable for everyday use in the beauty category.",Colors: Pink/Black; Sizes: XL/M/S
SKU-HOM-DEC-00056,1624.84,P000056,Essential Aluminum Decor,"giftable, limited",238,,2.6,No Warranty,Home & Kitchen,2021-10-14,43x68x8 cm,"A essential decor made from aluminum, suitable for everyday use in the home & kitchen category.",Colors: Gold/Pink; Sizes: One Size/XL
SKU-TOY-BOA-00057,2214.10,P000057,Essential Wood Board Game,"durable, lightweight, limited, premium",1341,,4.6,2 years,Toys,2021-07-22,57x40x3 cm,"A essential board game made from wood, suitable for everyday use in the toys category.",Colors: Silver/White; Sizes: M/XL/One Size
SKU-ELE-AUD-00058,2420.67,P000058,Classic Glass Audio,"durable, limited",931,,4.2,3 years,Electronics,2021-07-07,86x81x2 cm,"A classic audio made from glass, suitable for everyday use in the electronics category.",Colors: Brown/Red; Sizes: XL
SKU-BEA-WEL-00059,824.75,P000059,Eco Glass Wellnes,"bestseller, family",302,2027-08-03,2.5,3 months,Beauty,2025-06-04,21x74x17 cm,"A eco wellnes made from glass, suitable for everyday use in the beauty category.",Colors: Blue; Sizes: M
SKU-BEA-WEL-00060,439.73,P000060,Smart Steel Wellnes,"durable, giftable, premium",107,2024-04-13,3.6,No Warranty,Beauty,2021-09-17,100x13x31 cm,"A smart wellnes made from steel, suitable for everyday use in the beauty category.",Colors: Pink; Sizes: S/XL/XS
SKU-SPO-TEA-00061,156.75,P000061,Pro Steel Team Sport,"bestseller, durable, professional",980,,3.5,3 years,Sports,2025-10-02,18x67x46 cm,"A pro team sport made from steel, suitable for everyday use in the sports category.",Colors: White/Blue; Sizes: XL/One Size
SKU-GRO-FRO-00062,1137.01,P000062,Max Aluminum Frozen,"lightweight, limited, professional, trending",1239,2024-03-08,4.5,No Warranty,Grocery,2023-06-01,114x88x42 cm,"A max frozen made from aluminum, suitable for everyday use in the grocery category.",Colors: Gold/Silver; Sizes: L/One Size
SKU-HOM-APP-00063,1664.43,P000063,Deluxe Cotton Appliance,"bestseller, trending",766,,4.2,1 year,Home & Kitchen,2021-11-09,13x16x54 cm,"A deluxe appliance made from cotton, suitable for everyday use in the home & kitchen category.",Colors: Silver; Sizes: XL
SKU-ELE-WEA-00064,1676.67,P000064,Mini Cotton Wearable,"bestseller, durable, giftable, sale",841,,4.7,1 year,Electronics,2022-12-26,116x11x19 cm,"A mini wearable made from cotton, suitable for everyday use in the electronics category.",Colors: Blue/Pink; Sizes: XS
SKU-GRO-DAI-00065,1907.69,P000065,Smart Plastic Dairy,"eco-friendly, new, professional, sale",1175,2025-01-09,3.6,No Warranty,Grocery,2022-04-09,82x89x54 cm,"A smart dairy made from plastic, suitable for everyday use in the grocery category.",Colors: Silver/Brown/Black; Sizes: S
SKU-TOY-EDU-00066,233.93,P000066,Portable Steel Educational,"durable, premium, professional",1086,,3.4,1 year,Toys,2022-03-17,48x25x24 cm,"A portable educational made from steel, suitable for everyday use in the toys category.",Colors: Black; Sizes: S
SKU-ELE-SMA-00067,1656.53,P000067,Classic Silicone Smartphone,"bestseller, sale, trending",994,,3.6,6 months,Electronics,2024-05-28,32x70x8 cm,"A classic smartphone made from silicone, suitable for everyday use in the electronics category.",Colors: Gray/Green/Black/White; Sizes: XL/XS
SKU-ELE-LAP-00068,1919.53,P000068,Classic Glass Laptop,"giftable, trending",523,,3.3,No Warranty,Electronics,2022-08-16,68x60x12 cm,"A classic laptop made from glass, suitable for everyday use in the electronics category.",Colors: Gray/Brown; Sizes: M/XS/L
SKU-ELE-AUD-00069,2303.29,P000069,Premium Silicone Audio,"bestseller, new, trending",641,,3.6,1 year,Electronics,2024-03-25,95x86x27 cm,"A premium audio made from silicone, suitable for everyday use in the electronics category.",Colors: Blue/Pink/Silver; Sizes: L
SKU-HOM-STO-00070,1312.28,P000070,Deluxe Leather Storage,"bestseller, giftable",810,,3.3,6 months,Home & Kitchen,2025-11-18,33x47x50 cm,"A deluxe storage made from leather, suitable for everyday use in the home & kitchen category.",Colors: Gray; Sizes: S/M/XL
SKU-FAS-WOM-00071,643.63,P000071,Compact Wood Women,"family, lightweight, premium, professional",355,,2.9,3 years,Fashion,2024-05-18,14x27x50 cm,"A compact women made from wood, suitable for everyday use in the fashion category.",Colors: Silver/Blue/Pink; Sizes: L
SKU-OFF-PRI-00072,883.09,P000072,Classic Steel Printing,"bestseller, family, professional",151,,3.7,No Warranty,Office,2022-09-28,12x52x54 cm,"A classic printing made from steel, suitable for everyday use in the office category.",Colors: Pink/Gray/Black/Red; Sizes: One Size/S/M
SKU-OFF-TEC-00073,1129.05,P000073,Portable Steel Tech,"giftable, lightweight, premium, professional",703,,2.7,3 years,Office,2025-01-02,27x10x16 cm,"A portable tech made from steel, suitable for everyday use in the office category.",Colors: Silver/Brown; Sizes: L/One Size
SKU-GRO-DAI-00074,169.44,P000074,Premium Cotton Dairy,"bestseller, durable, eco-friendly, professional",193,2026-07-10,3.5,No Warranty,Grocery,2024-02-17,97x89x59 cm,"A premium dairy made from cotton, suitable for everyday use in the grocery category.",Colors: Green/Gold/Blue; Sizes: One Size/XS/M
SKU-TOY-PUZ-00075,1616.82,P000075,Portable Plastic Puzzle,"family, lightweight, limited",867,,3.4,6 months,Toys,2023-11-08,44x28x14 cm,"A portable puzzle made from plastic, suitable for everyday use in the toys category.",Colors: Blue/White; Sizes: XS/XL
SKU-ELE-ACC-00076,1495.12,P000076,Max Wood Accessorie,"lightweight, professional",315,,3.0,3 years,Electronics,2021-11-29,103x84x52 cm,"A max accessorie made from wood, suitable for everyday use in the electronics category.",Colors: Gold; Sizes: One Size/S
SKU-OFF-TEC-00077,588.83,P000077,Classic Silicone Tech,"family, lightweight, premium, sale",489,,4.9,1 year,Office,2022-09-26,120x29x24 cm,"A classic tech made from silicone, suitable for everyday use in the office category.",Colors: Gray/Brown/Gold/White; Sizes: XL
SKU-FAS-KID-00078,2185.91,P000078,Premium Silicone Kid,"eco-friendly, sale",1135,,4.3,2 years,Fashion,2021-07-30,113x20x19 cm,"A premium kid made from silicone, suitable for everyday use in the fashion category.",Colors: Gray/Blue/Gold/Black; Sizes: L
SKU-GRO-BEV-00079,994.14,P000079,Deluxe Steel Beverage,"family, professional",765,2023-11-24,5.0,No Warranty,Grocery,2022-04-28,33x8x21 cm,"A deluxe beverage made from steel, suitable for everyday use in the grocery category.",Colors: Blue/Brown/Black; Sizes: L/S
SKU-OFF-ORG-00080,2265.10,P000080,Max Steel Organization,"bestseller, limited, sale",38,,3.0,3 months,Office,2022-06-09,75x82x34 cm,"A max organization made from steel, suitable for everyday use in the office category.",Colors: White/Black/Red; Sizes: One Size/XL
SKU-OFF-STA-00081,1493.85,P000081,Compact Silicone Stationery,"durable, new, premium",33,,3.8,3 months,Office,2024-07-18,96x23x19 cm,"A compact stationery made from silicone, suitable for everyday use in the office category.",Colors: Brown/Gold; Sizes: One Size
SKU-HOM-FUR-00082,2383.73,P000082,Smart Plastic Furniture,"family, new, trending",1114,,4.5,2 years,Home & Kitchen,2023-11-06,75x7x25 cm,"A smart furniture made from plastic, suitable for everyday use in the home & kitchen category.",Colors: Green/Black/Silver; Sizes: M
SKU-BEA-SKI-00083,337.85,P000083,Max Cotton Skincare,"eco-friendly, family, professional",721,2025-07-03,4.5,3 months,Beauty,2024-01-24,111x64x45 cm,"A max skincare made from cotton, suitable for everyday use in the beauty category.",Colors: Pink; Sizes: M
SKU-BEA-SKI-00084,792.40,P000084,Eco Steel Skincare,"durable, limited, new, sale",635,2025-07-01,5.0,2 years,Beauty,2023-11-22,65x37x3 cm,"A eco skincare made from steel, suitable for everyday use in the beauty category.",Colors: Green/White/Silver; Sizes: L/One Size
SKU-TOY-PUZ-00085,1731.70,P000085,Portable Silicone Puzzle,"eco-friendly, giftable, premium",752,,3.8,No Warranty,Toys,2025-06-21,98x59x6 cm,"A portable puzzle made from silicone, suitable for everyday use in the toys category.",Colors: Silver/White/Gray; Sizes: One Size/M
SKU-SPO-TEA-00086,420.77,P000086,Max Leather Team Sport,"family, new, sale",909,,3.6,3 years,Sports,2022-12-21,116x50x40 cm,"A max team sport made from leather, suitable for everyday use in the sports category.",Colors: Gold; Sizes: XL/S
SKU-ELE-LAP-00087,91.81,P000087,Max Silicone Laptop,"eco-friendly, premium",137,,4.4,6 months,Electronics,2022-04-29,51x54x37 cm,"A max laptop made from silicone, suitable for everyday use in the electronics category.",Colors: Silver/Brown/Pink/Gold; Sizes: XL
SKU-FAS-BAG-00088,789.38,P000088,Smart Leather Bag,"bestseller, giftable, sale, trending",570,,4.9,No Warranty,Fashion,2022-05-27,99x28x32 cm,"A smart bag made from leather, suitable for everyday use in the fashion category.",Colors: Pink/Red/Green; Sizes: L/S/XS
SKU-FAS-MEN-00089,2247.19,P000089,Ultra Wood Men,"giftable, professional",911,,4.5,6 months,Fashion,2021-06-29,90x49x46 cm,"A ultra men made from wood, suitable for everyday use in the fashion category.",Colors: Green/Blue/Gray; Sizes: XL/S
SKU-HOM-STO-00090,1976.97,P000090,Portable Glass Storage,"bestseller, professional, sale, trending",53,,3.9,6 months,Home & Kitchen,2023-01-10,64x75x9 cm,"A portable storage made from glass, suitable for everyday use in the home & kitchen category.",Colors: Gray/Gold/Brown/Pink; Sizes: XS/S/M
SKU-HOM-DEC-00091,325.18,P000091,Ultra Cotton Decor,"bestseller, giftable",1129,,4.0,3 months,Home & Kitchen,2024-08-03,60x69x59 cm,"A ultra decor made from cotton, suitable for everyday use in the home & kitchen category.",Colors: Green/Blue; Sizes: M
SKU-BEA-MAK-00092,2115.59,P000092,Mini Aluminum Makeup,"bestseller, eco-friendly, giftable, professional",513,2024-05-17,4.9,6 months,Beauty,2022-02-07,21x85x20 cm,"A mini makeup made from aluminum, suitable for everyday use in the beauty category.",Colors: Blue/Silver; Sizes: XS/One Size/XL
SKU-ELE-WEA-00093,1918.55,P000093,Classic Glass Wearable,"family, lightweight, sale",853,,4.1,1 year,Electronics,2024-06-19,118x85x35 cm,"A classic wearable made from glass, suitable for everyday use in the electronics category.",Colors: Gold/Green; Sizes: XS/One Size
SKU-FAS-SHO-00094,1163.77,P000094,Deluxe Silicone Shoe,"durable, giftable",696,,2.9,3 years,Fashion,2024-05-27,45x49x26 cm,"A deluxe shoe made from silicone, suitable for everyday use in the fashion category.",Colors: Silver; Sizes: L
SKU-HOM-APP-00095,356.48,P000095,Ultra Glass Appliance,"durable, premium",103,,4.9,2 years,Home & Kitchen,2022-08-18,58x36x56 cm,"A ultra appliance made from glass, suitable for everyday use in the home & kitchen category.",Colors: Red/Blue/Pink; Sizes: L/One Size/M
SKU-OFF-STA-00096,1266.07,P000096,Compact Leather Stationery,"family, lightweight, professional, sale",493,,4.0,No Warranty,Office,2022-03-17,11x41x32 cm,"A compact stationery made from leather, suitable for everyday use in the office category.",Colors: White; Sizes: S/M
SKU-GRO-FRO-00097,1004.44,P000097,Smart Steel Frozen,"giftable, premium, sale",1167,2025-03-10,3.4,No Warranty,Grocery,2024-02-25,14x54x33 cm,"A smart frozen made from steel, suitable for everyday use in the grocery category.",Colors: Blue; Sizes: L
SKU-GRO-PAN-00098,1888.63,P000098,Mini Cotton Pantry,"durable, family, giftable, lightweight",407,2026-04-19,3.5,No Warranty,Grocery,2024-05-18,10x9x9 cm,"A mini pantry made from cotton, suitable for everyday use in the grocery category.",Colors: Brown/Gray; Sizes: M
SKU-GRO-SNA-00099,1486.33,P000099,Deluxe Aluminum Snack,"bestseller, family, trending",1038,2027-07-26,3.8,No Warranty,Grocery,2025-08-24,65x7x24 cm,"A deluxe snack made from aluminum, suitable for everyday use in the grocery category.",Colors: Black/Pink/Green; Sizes: XL/One Size/S
SKU-ELE-WEA-00100,1312.95,P000100,Ultra Wood Wearable,"bestseller, limited, new, professional",1476,,4.4,1 year,Electronics,2024-06-23,23x36x3 cm,"A ultra wearable made from wood, suitable for everyday use in the electronics category.",Colors: Silver/Gold/Blue/Red; Sizes: S/L/XL
SKU-ELE-LAP-00101,1404.40,P000101,Mini Glass Laptop,"durable, giftable, professional, sale",1356,,3.8,6 months,Electronics,2023-09-07,27x63x59 cm,"A mini laptop made from glass, suitable for everyday use in the electronics category.",Colors: Red/Brown/Green/Pink; Sizes: S/M
SKU-SPO-OUT-00102,796.01,P000102,Essential Silicone Outdoor,"family, giftable, premium, trending",714,,4.8,3 years,Sports,2024-02-22,40x41x8 cm,"A essential outdoor made from silicone, suitable for everyday use in the sports category.",Colors: Blue/Green/Black; Sizes: One Size/XS
SKU-GRO-FRO-00103,1869.60,P000103,Pro Aluminum Frozen,"family, limited, new, premium",438,2024-12-11,3.8,No Warranty,Grocery,2022-02-18,22x18x40 cm,"A pro frozen made from aluminum, suitable for everyday use in the grocery category.",Colors: Red/Black; Sizes: L
SKU-GRO-FRO-00104,17.92,P000104,Compact Wood Frozen,"durable, new, sale",1127,2023-07-09,4.1,No Warranty,Grocery,2021-11-20,66x88x13 cm,"A compact frozen made from wood, suitable for everyday use in the grocery category.",Colors: Brown; Sizes: XL
